Type,Licence
Well,0377179
Well,0340067
Well,0361221
Well,0337108
Well,0370028
Well,0331621
Well,0332616
Well,0348623
Well,0337109
Well,0313956
Well,0340538
Well,0312894
Well,0335894
Well,0216520
Well,0360282
Well,0361285
Well,0350790
Well,0379862
Well,0168019
Well,0332221
Well,0357868
Well,0340393
Well,0357866
Well,0397926
Well,0379861
Well,0349406
Well,0223204
Well,0402975
Well,0344952
Well,0359878
Well,0374018
Well,0397304
Well,0409463
Well,0214858
Well,0379907
Well,0351344
Well,0403403
Well,0333094
Well,0315267
Well,0348625
Well,0201115
Well,0436283
Well,0368411
Well,0256073
Well,0052510
Well,0207198
Well,0321608
Well,0436540
Well,0294641
Well,0312656
Well,0396066
Well,0393633
Well,0382431
Well,0004793
Well,0363520
Well,0356122
Well,0349404
Well,0260929
Well,0418775
Well,0320320
Well,0357865
Well,0363519
Well,0174959
Well,0436886
Well,0374380
Well,0358903
Well,0311574
Well,0438085
Well,0059999
Well,0362302
Well,0063891
Well,0056544
Well,0358902
Well,0312024
Well,0350787
Well,0319681
Well,0358866
Well,0260243
Well,0052686
Well,0365665
Well,0333095
Well,0361220
Well,0377266
Well,0397925
Well,0288455
Well,0356119
Well,0377177
Well,0113658
Well,0361878
Well,0402187
Well,0338322
Well,0367723
Well,0282870
Well,0004352
Well,0313689
Well,0386482
Well,0226332
Well,0334344
Well,0361879
Well,0244219
Well,0357867
Well,0334785
Well,0284483
Well,0321431
Well,0232564
Well,0391297
Well,0395716
Well,0383139
Well,0393392
Well,0348626
Well,0377180
Well,0335132
Well,0377046
Well,0377199
Well,0370029
Well,0377070
Well,0362859
Well,0335153
Well,0335119
Well,0315509
Well,0362303
Well,0340691
Well,0377140
Well,0382315
Well,0340397
Well,0350840
Well,0379863
Well,0223618
Well,0397152
Well,0436106
Well,0393635
Well,0380537
Well,0356121
Well,0344953
Well,0374019
Well,0397305
Well,0379906
Well,0380539
Well,0382314
Well,0334786
Well,0397924
Well,0344954
Well,0342060
Well,0136631
Well,0351343
Well,0397923
Well,0377072
Well,0436541
Well,0396067
Well,0382432
Well,0363521
Well,0383141
Well,0349405
Well,0342807
Well,0382434
Well,0379905
Well,0436522
Well,0382316
Well,0339270
Well,0359926
Well,0368412
Well,0342059
Well,0333096
Well,0350789
Well,0400303
Well,0361518
Well,0377267
Well,0377178
Well,0391655
Well,0399015
Well,0226570
Well,0393629
Well,0386483
Well,0365667
Well,0367722
Well,0358904
Well,0365668
Well,0391298
Well,0395717
Well,0383140
Well,0393394
Well,0348627
Well,0436941
Well,0393796
Well,0392110
Well,0377071
Well,0436305
Well,0342462
Well,0377141
Well,0436083
Well,0397153
Well,0367699
Well,0367698
Well,0368409
Well,0398519
Well,0377073
Well,0393630
Well,0383142
Well,0337107
Well,0382317
Well,0367724
Well,0367721
Well,0380534
Well,0293918
Well,0371790
Well,0358867
Well,0365666
Well,0398046
Well,0399013
Well,0390808
Well,0436982
Well,0384562
Well,0377142
Well,0382435
Well,0377200
Well,0351342
Well,0333097
Well,0436569
Well,0380535
Well,0398045
Well,0393641
Well,0384563
Well,0377201
Well,0398047
Well,0400039
Well,0410808
Well,0410807
Well,0410805
Well,0393640
Facility,21165
Facility,21554
Facility,28818
Facility,30261
Facility,31478
Facility,32697
Facility,33238
Facility,35395
Facility,36050
Facility,36051
Facility,36655
Facility,36770
Facility,36832
Facility,36833
Facility,37347
Facility,37348
Facility,37366
Facility,37367
Facility,37368
Facility,37369
Facility,37543
Facility,37907
Facility,38753
Facility,38766
Facility,38813
Facility,39124
Facility,39222
Facility,39385
Facility,39638
Facility,39675
Facility,39676
Facility,39701
Facility,39761
Facility,39940
Facility,40136
Facility,41128
